Computer_Idn,AssetTag,ServiceTag,ExpressServiceCode,SerialNum,Model,ModelNum,Manufacturer,ChassisType,SalesOrderNumber,ManufactureDate,SystemVersion,HasBattery,CmmGuid,CmmSnmpPort,CmmSlimPort,CmmLocation,IPMIVersion,BMCFirmwareVersion,SDRVersion,SDRFile,SDRPackage,SDRTimeStamp,AMTVersion,ChassisName,BoardName,BackplaneVersion,ESMVersion,OpenManageSupport,OpenManageSupportedComponenets,OpenManageAdministratorVersion,AgentlessInstall,FirmwareVersion,PlatformVersion,BootMode,SupportEndDate,WillAutoRenew,ModelNumber
160,NULL,VMware-42 39 d4 6a e3 b4 ff ef-96 c0 48 54 35 39 7f 1b,1024448542608655645421352841488344334871914485090006977788478105191147133651610763264,VMware-42 39 d4 6a e3 b4 ff ef-96 c0 48 54 35 39 7f 1b,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,NULL,VMware-56 4d 10 03 ca 42 2b 30-51 dc 88 b3 5e 0b ea 04,1024448542609087867286320600545532436457789583808966728487860275649164186731126194176,VMware-56 4d 10 03 ca 42 2b 30-51 dc 88 b3 5e 0b ea 04,VMware Virtual Platform,NULL,"VMware, Inc.",Other,NULL,NULL,None,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VMware Virtual Platform,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,5CG61534C7,5CG61534C7,542920058560951,5CG61534C7,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,5CG61532Q4,5CG61532Q4,542920058558860,5CG61532Q4,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,5CG6153493,5CG6153493,542920058560839,5CG6153493,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,5CG615300B,5CG615300B,542920058555339,5CG615300B,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,NULL,8CG52319WN,847597808804711,8CG52319WN,HP EliteBook Folio 1040 G1,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009DD18303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook Folio 1040 G1,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,5CG61532K4,5CG61532K4,542920058558644,5CG61532K4,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,NULL,To Be Filled By O.E.M.,1594852671566048900000000000000000000000,To Be Filled By O.E.M.,To Be Filled By O.E.M.,NULL,To Be Filled By O.E.M.,Desktop,NULL,NULL,To Be Filled By O.E.M.,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,To Be Filled By O.E.M.,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,5CG5371C1V,5CG5371C1V,542918005986883,5CG5371C1V,HP EliteBook 840 G2,NULL,Hewlett-Packard,Notebook,NULL,NULL,A3009D510303,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HP EliteBook 840 G2,NULL,NULL,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
