Computer_Idn,BytesTotal,BytesAvail,SysHeapSize,PageTotal,PageAvail,PageMaxSize,PageAvail2,VirtTotal,VirtAvail,VirtStatus,VirtVol,ConvTotal,ConvAvail,ExtTotal,ExtAvail,XMSTotal,XMSAvail,EMSTotal,EMSAvail,NumSlots,L2Total,StorageTotal,StorageAvail,RAMTotal,RAMAvail,MemDynamic,NumCards,MaxMem
160,4095,2281,NULL,NULL,NULL,4800,3293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048576
162,4095,2454,NULL,NULL,NULL,4800,3351,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048576
163,12163,7381,NULL,NULL,NULL,24324,18994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
165,8067,3544,NULL,NULL,NULL,9347,4087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
166,8067,3748,NULL,NULL,NULL,9347,3931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
167,12163,9584,NULL,NULL,NULL,24324,22236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
181,8089,2069,NULL,NULL,NULL,12953,5398,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
189,8067,235,NULL,NULL,NULL,21374,2489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
192,3767,1307,NULL,NULL,NULL,15543,11787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8192
199,16259,9670,NULL,NULL,NULL,18947,11239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
200,16259,4526,NULL,NULL,NULL,26944,3612,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
201,16259,6668,NULL,NULL,NULL,32643,18719,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
202,16265,8320,NULL,NULL,NULL,33673,23526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32768
205,8089,4572,NULL,NULL,NULL,16281,11869,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
214,8067,4634,NULL,NULL,NULL,16132,12756,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
245,8067,631,NULL,NULL,NULL,13699,3805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16384
