Computer_Idn,Manufacturer,Chipset,NumSlots,FRUGrpIndex,OPGrpIndex,MaxCPU,ProductName,MBVersion,SerialNum,BusSpeed,PCISlots,PCISlotsAvail
160,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
162,Intel Corporation,NULL,NULL,NULL,NULL,2400,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
163,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB210A3,1600,1,1
165,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB210GF,1600,1,1
166,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.58,PEVMN00WB21088,1600,1,1
167,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.58,PEVMN00WB210C0,1600,1,1
181,Hewlett-Packard,NULL,NULL,NULL,NULL,2701,213E,KBC Version 24.2C,PEAEE3AWR8R04A,1600,1,1
189,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.58,PEVMN00WB210EL,1600,1,1
192,ASRock,NULL,NULL,NULL,NULL,2400,HM55-HT,NULL,108246500000628,NULL,0,0
199,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB9F15V,1600,1,1
200,Hewlett-Packard,NULL,NULL,NULL,NULL,2195,2216,KBC Version 96.54,PEVDQ00WB8Y1IC,1600,1,1
201,Hewlett-Packard,NULL,NULL,NULL,NULL,2195,2216,KBC Version 96.55,PEVDQ00WB8Y1I8,1600,1,1
202,Hewlett-Packard,NULL,NULL,NULL,NULL,2501,2253,KBC Version 03.12,PENNRI21V8WLPF,1600,1,1
205,Hewlett-Packard,NULL,NULL,NULL,NULL,2401,198F,KBC Version 15.55,PEMUU00WB7T1FQ,1600,1,1
214,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.58,PEVMN00WB210C6,1600,1,1
245,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.58,PEVMN00WB2110M,1600,1,1
272,LENOVO,NULL,NULL,NULL,NULL,2701,20ALCTO1WW,SDK0E50510 WIN,L1HF4BM07Z6,1600,0,0
276,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVMN00WB2109B,1600,1,1
284,LENOVO,NULL,NULL,NULL,NULL,2808,20EN001TUS,SDK0J40705 WIN,L1HF65301KK,2133,0,0
289,Intel Corporation,NULL,NULL,NULL,NULL,2300,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
290,Intel Corporation,NULL,NULL,NULL,NULL,2300,440BX Desktop Reference Platform,NULL,NULL,NULL,4,2
