Computer_Idn,Type,MhzSpeed,ProcCount,Stepping,ID,Vendor,SLSignature,Model,ProcIndex,ProcType,ProcFamily,ProcVersion,MaxSpeed,CurrSpeed,ProcUpgrade,FRUGrpIndex,OPGrpIndex,ProcSerialNum,OverdriveUpgrade,VirtModeExt,PageSizeExt,TimeStampCnt,ModelRegisters,PhysAddrExt,MachChkExcept,CMPXCHG8BInstSppt,APIC,MemoryTypeRangeReg,PageGlobalEnable,MachineCheckArch,CondMoveInstr,MMX,HyperThreading,GlobalPageEnable,LeaseExp,ProcCnt,Speed,FeatureID,FeatureStepping,DHCPServ,Architecture,ProcLevel,Revision,AllocGran,ProcessorPhysicalCount,ExternalClockSpeed,CoresPerPkg,EM64T,ExecDisable,CacheSize,TotalCores
160,Intel(R) Xeon(R) CPU E5-4610 0 @ 2.40GHz,2400,1,2H,06D2H,GenuineIntel,132818,D,NULL,NULL,NULL,NULL,2400,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Yes,Yes,NULL,NULL
162,Intel(R) Xeon(R) CPU E5-4610 0 @ 2.40GHz,2400,1,2H,06D2H,GenuineIntel,132818,D,NULL,NULL,NULL,NULL,2400,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Yes,Yes,NULL,NULL
163,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
165,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2200,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
166,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2200,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
167,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
181,Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,2700,1,1H,0651H,GenuineIntel,263761,5,NULL,NULL,NULL,NULL,2700,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
189,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
192,Intel(R) Core(TM) i3 CPU       M 370  @ 2.40GHz,2400,1,5H,0655H,GenuineIntel,132693,5,NULL,NULL,NULL,NULL,2400 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133,2,Yes,Yes,NULL,NULL
199,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,2200,1,4H,06D4H,GenuineIntel,198356,D,NULL,NULL,NULL,NULL,2700 MHz,NULL,NULL,NULL,NULL,Disabled or does not exist,NULL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,2,Yes,Yes,NULL,NULL
