Computer_Idn,SystemFailures_Idn,LastDate,Count30Day,Count90Day
165,2745,2018-06-18 01:56:56.000,0,1
189,2308,2018-02-25 11:06:22.000,0,0
192,102,2018-08-10 21:31:44.000,1,5
199,2570,2018-08-07 08:23:04.000,1,1
201,2668,2018-07-12 05:05:32.000,1,5
205,107,2018-08-17 08:27:00.000,2,2
272,1085,2017-11-08 06:16:54.000,0,0
289,108,2016-05-22 03:04:10.000,0,0
290,1503,2017-07-09 15:37:36.000,0,0
302,2408,2018-03-23 08:22:46.000,0,0
308,991,2018-02-12 02:22:28.000,0,0
328,473,1979-11-30 01:00:00.000,1,1
339,249,2018-06-11 06:09:20.000,0,2
345,145,2015-01-10 11:22:52.000,0,0
358,148,2016-04-14 14:03:30.000,0,0
362,1532,2017-07-03 03:01:46.000,0,0
372,1944,2018-08-10 07:07:22.000,1,1
378,2445,2018-08-17 21:58:44.000,2,2
383,1538,2017-07-05 04:54:20.000,0,0
400,2743,2018-08-08 02:12:24.000,1,1
411,175,2018-06-01 13:55:42.000,0,2
421,2439,2018-04-02 11:33:26.000,0,0
422,668,2016-11-10 08:41:10.000,0,0
425,2039,2018-04-21 08:29:28.000,0,0
449,131,2018-02-22 20:32:34.000,0,0
451,176,2017-03-20 14:33:38.000,0,0
455,142,2018-01-15 16:41:24.000,0,0
478,1554,2017-08-05 21:16:52.000,0,0
481,1373,2017-05-24 09:02:38.000,0,0
484,156,2018-07-26 08:26:22.000,1,2
506,793,2018-04-12 09:17:18.000,0,0
519,165,2018-05-18 12:04:36.000,0,0
527,141,2017-08-28 13:26:20.000,0,0
581,2931,2018-07-24 19:40:22.000,1,1
594,2505,2017-08-19 11:18:08.000,0,0
613,481,2015-08-06 12:06:52.000,0,0
629,157,2018-07-12 18:25:52.000,0,1
665,255,2018-05-18 07:32:26.000,0,0
671,225,2018-04-27 09:56:44.000,0,0
682,232,2017-10-26 11:28:40.000,0,0
706,233,2016-06-07 11:11:14.000,0,0
757,2906,2014-07-23 18:11:52.000,0,0
763,198,2018-07-18 13:34:26.000,0,1
767,199,2018-07-29 15:40:16.000,1,2
768,209,2017-05-10 12:12:52.000,0,0
779,204,2017-06-04 01:45:34.000,0,0
785,213,2018-07-26 00:36:18.000,1,1
793,451,2017-11-17 10:06:04.000,0,0
805,664,2018-01-26 09:45:30.000,0,0
834,254,2018-06-14 10:13:40.000,0,1
848,495,2017-09-18 07:00:12.000,0,0
858,1096,2018-07-10 00:38:28.000,1,2
876,2674,2018-05-30 14:56:40.000,0,1
895,268,2018-02-21 12:13:40.000,0,0
904,489,2017-05-05 09:34:08.000,0,0
906,539,2018-05-08 03:28:42.000,0,0
933,1930,2017-10-30 23:28:36.000,0,0
937,337,2018-07-03 11:26:26.000,0,1
948,1067,2017-06-04 05:28:24.000,0,0
951,805,2018-04-25 12:46:20.000,0,0
952,2897,2018-07-19 01:22:48.000,0,1
974,1139,2018-07-10 05:01:46.000,0,1
978,1231,2018-03-30 05:58:08.000,0,0
993,1809,2017-09-21 09:42:12.000,0,0
1003,1776,2017-12-14 18:41:36.000,0,0
1013,612,2018-08-01 00:56:28.000,1,4
1014,1143,2018-01-05 12:09:40.000,0,0
1019,647,2018-08-16 10:08:20.000,2,2
1023,333,2018-03-07 18:48:58.000,0,0
1024,2956,2018-07-27 06:10:08.000,1,1
1041,639,2018-05-31 09:17:24.000,0,1
1042,3058,2018-08-20 02:47:08.000,1,1
1048,652,2018-08-10 01:10:10.000,1,2
1050,343,2017-04-24 01:29:00.000,0,0
1083,1620,2018-08-01 00:50:40.000,1,1
1086,1052,2018-01-19 04:14:02.000,0,0
1092,2271,2018-02-08 08:19:54.000,0,0
1118,2768,2018-06-20 06:06:18.000,0,1
1132,562,2017-07-03 12:34:28.000,0,0
1141,425,2018-08-11 17:06:38.000,1,5
1143,387,2012-09-26 12:14:56.000,0,0
1159,3064,2018-08-20 14:48:30.000,1,1
1176,778,2018-03-27 15:52:46.000,0,0
1241,1707,2017-09-03 17:48:30.000,0,0
1255,2181,2017-01-27 05:05:56.000,0,0
1260,465,2018-05-25 02:29:32.000,0,1
1261,2190,2018-05-08 01:12:26.000,0,0
1266,2863,2017-10-02 02:36:36.000,0,0
1282,1203,2018-04-25 13:48:30.000,0,0
1294,1839,2017-09-27 15:04:32.000,0,0
