Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
163,110,7.4,7,5.2,6.6,7.9
166,4482,8.6,8.6,5.9,9.9,8.15
167,113,7.3,7,4.8,6.5,7.9
181,4944,8.7,8.7,5.9,9.9,8.2
189,124,7.4,7,4.9,6.7,7.9
192,3383,5.9,6.6,4.3,3.7,5.7
199,4451,8.6,8.6,6.1,9.9,7.9
200,125,7.5,7.3,5.9,7.3,8.1
201,5052,7.5,7.3,5.9,7.3,8.15
202,437,8.1,8.1,5.9,5.9,8.15
205,139,7.5,7.2,5.2,5.1,5.9
214,130,7.5,7,6.7,6.7,7.9
245,4069,7.4,7.3,5.6,9.9,8.15
272,156,7.2,7.1,5.3,6.5,7.9
276,4911,8.6,8.6,5.7,9.9,8.15
284,4908,8.3,8.3,8.4,9.9,8.8
302,186,7.4,7,5.1,6.7,7.9
308,743,7.4,7.3,5.9,7.2,8.15
312,5113,8.6,8.6,5.9,9.9,8.1
339,436,7.6,7.2,6.8,6.8,7.9
351,543,7.9,7.7,7.1,7.1,7.9
362,418,7.4,7,5.1,6.7,7.9
378,194,7.7,7.2,6.7,6.7,7.1
380,4978,7.5,7.4,4.6,9.9,7.9
383,416,7.5,7,4.9,6.6,7.9
388,3224,7.5,7.5,6.1,9.9,8.2
393,737,7.5,7.1,6.6,6.6,7.9
400,542,7.8,7.7,5.3,7.1,7.9
418,210,7.6,7.3,6.1,9.9,7.85
421,201,7.5,7.2,5.9,6.6,5.9
422,4485,7.5,7.5,5.9,9.9,8.15
449,219,7.9,7.9,4.4,4.7,8.15
451,246,7.6,7.2,5.4,6.7,7.7
457,4098,8.3,8.3,8.1,9.9,8.15
459,1123,8.7,8.7,6.1,9.9,8.15
475,3495,7.9,7.6,6.3,9.9,8.15
481,216,7.5,7.2,5.4,6.7,5.9
485,5047,9.1,9.1,6.7,9.9,8
506,1075,7.4,7.3,5.2,5.2,8.1
515,4337,6.7,6.7,4.7,4.1,5.5
519,270,5.9,7.2,4.5,6.7,7.9
522,232,7.6,7.2,5.3,6.7,7.8
525,3221,7.7,7.4,6.5,9.9,8.2
527,234,7.6,7.5,6.1,6.1,8.7
533,3600,7.6,7.4,5.9,9.9,8.2
539,4166,8.7,8.7,6.1,9.9,8.1
562,477,7.7,7.7,4.7,7.1,7.9
581,4696,7.9,6.4,5.5,9.9,8.15
613,786,7.5,7.5,7.4,7.4,5.9
629,260,7.8,7.7,7,7,7.9
649,3595,7.4,7.3,6.1,9.9,8.15
653,4227,8.6,8.6,5.6,9.9,8.15
671,390,7.4,7,4.8,5.9,7.9
676,731,7.7,7.4,6,9.9,8
678,297,9.1,9.1,6.9,9.9,8.1
703,946,7.4,7.4,5.4,6.1,5.9
717,303,7.5,7.1,6.7,6.7,5.9
720,311,7.7,7.7,4.9,6.3,5.9
762,4203,8.7,8.7,5.8,9.9,8.2
763,323,7.7,7.3,6.8,6.8,7.9
767,326,7.4,7,5.9,6.7,7.9
768,343,7.4,7,6.7,6.7,7.9
774,4791,7.5,7.3,5.6,9.9,8.15
778,4516,8.6,8.6,5.6,9.9,8.15
779,335,7.4,7.1,5.5,6.5,7.9
784,1153,7.7,7.7,7.1,7.1,7.9
785,354,7.6,7.2,5.8,6.6,7.9
793,347,7.4,7.2,4.6,6.6,7.9
805,386,7.7,7.7,7,7,7.9
825,5032,7.8,7.5,6.3,9.9,8.9
831,395,7.6,7.3,4.8,5.1,8.1
834,440,8.1,8.1,6,6,8.05
848,401,7.4,7.4,5.3,9.9,8.15
858,419,7.2,7,4.4,6.3,7.9
876,4877,7.5,7.5,4.5,9.9,5.9
883,2620,8.3,8.3,8,9.9,8.95
887,4342,9,9,8.4,9.9,9.1
888,3313,5.9,7.3,4.6,9.9,8.15
895,469,5.9,7.1,5,6.5,7.9
904,476,7.5,7.2,5,6.4,7.9
906,4874,7.4,7.3,5.4,5.6,8.15
908,4190,9.1,9.1,6.8,9.9,7.55
910,4461,7.8,7.5,6.1,9.9,8.7
933,600,7.5,7.5,5,9.9,8.2
937,505,7.4,7,5.4,6.7,7.9
942,508,8.3,8.3,5.4,9.9,8.15
948,712,7.5,7.2,6.6,6.6,7.9
951,1235,7.7,7.2,6.5,6.5,7.9
952,612,8.1,8.1,6.5,9.9,8.05
960,804,7.8,7.7,7.1,7.1,7.9
964,3410,7.9,7.6,6.7,9.9,8.15
974,892,7.5,7.2,5.9,6.6,7.9
978,566,5.9,7,4.7,6.4,7.9
993,3835,7.6,7.6,5.5,9.9,8.15
1003,583,7.6,7.5,5.9,5.9,8.2
1007,586,8.3,8.3,6.4,9.9,9.05
1010,4378,9.1,9.1,8.4,9.9,8.8
1012,4340,7.4,7.3,5.4,9.9,8.15
1013,871,8.3,8.3,8.4,9.9,9.05
1014,2697,8.4,8.4,6.7,9.9,8.15
1019,635,7.4,7.3,5.3,9.9,5.9
1021,5207,7.5,7.3,5.9,7.1,8.15
1023,596,7.5,7.3,5.9,7.3,8.15
1024,4080,7.5,7.3,5.9,5.9,8.15
1025,1303,7.6,7.4,5.6,9.9,8.05
1041,5216,7.4,7.3,5.8,5.7,5.9
1042,4982,9.1,9.1,6.8,9.9,7.7
1048,3083,7.5,7.3,5.9,7.3,8.15
1050,1114,7.9,7.6,6.2,9.9,8.85
1056,5177,8.6,8.6,8.1,9.9,8.15
1062,2586,7.8,7.8,8.1,9.9,8.15
1070,4359,7.4,7.4,5.2,9.9,8.15
1077,4820,8.2,7.8,8.5,9.9,8.2
1081,4390,8.6,8.6,5.6,9.9,8.15
1083,1272,7.4,7.3,5.9,7.2,8
1086,1137,7.5,7.3,5.9,7.1,8.15
1087,4833,8.6,8.6,5.7,9.9,7.75
1090,4903,9.1,9.1,7.7,9.9,8.95
1092,5159,7.7,7.5,5.6,9.9,5.9
1097,854,8.2,8.2,6.8,9.9,8.15
1099,4208,7.9,7.3,6.9,6.9,7.9
1115,4502,7.9,7.4,6.5,9.9,8.15
1118,4905,7.7,7.5,6.2,9.9,8.15
1132,676,7.9,7.5,6,9.9,8.15
1133,3979,5.9,7.4,4.4,9.9,8.15
1137,734,8.3,8.3,5.8,9.9,9.05
1141,978,7.6,7.4,5.9,9.9,7.95
1148,5056,7.5,7.4,5.2,9.9,8.15
1154,2643,7.8,7.5,6.3,9.9,8.15
1155,678,7.6,7.6,5.3,6.9,7.9
1157,727,7.8,7.5,6.1,9.9,8.9
1159,706,8.8,8.8,6.5,9.9,8.8
1169,687,8.8,8.8,7.4,9.9,5.9
1175,785,7.5,7.5,5.5,6.3,5.9
1176,692,8.2,8.2,8.7,8.7,8.65
1177,844,8.2,8.2,6.4,9.9,8.9
1178,693,8.3,8.3,5.9,9.9,8.2
1188,705,8,7.7,4.2,9.9,9.4
1192,3256,7.3,7.3,4.4,9.9,5.9
1222,1109,8.3,8.3,6.3,9.9,9.2
1226,740,8.4,8.3,6.3,9.9,9.15
1235,747,8.4,8.3,6.3,9.9,9.15
1241,755,7.6,7.6,5.8,6.6,5.9
1253,765,8.2,8.2,5.9,9.9,8.9
1260,2624,8.1,8.1,8.1,8.1,8.15
1261,770,8.2,8.2,8.7,8.7,8.6
1263,4291,8,7.6,5.9,9.9,8.15
1266,857,6.8,6.8,4.2,9.9,5.9
1282,782,7.8,7.6,6.5,9.9,8.15
1292,4880,8.6,8.6,5.8,9.9,8.15
1293,2587,7.6,7.4,5.9,9.9,8.65
1294,922,7.4,7.3,5.2,9.9,8.15
1295,5206,7.9,7.6,6.1,9.9,8.15
1297,791,7.7,7.7,4.1,5.5,5.9
1304,793,9,9,3.6,9.9,5.9
1305,4459,7.2,7.1,5.3,6.6,5.9
1306,795,8.1,8.1,5.9,5.7,8.05
1311,801,7.2,7.2,5.3,6.7,5.9
1324,818,7.9,7.8,7.7,7.7,7.6
1343,4558,9.1,9.1,6.9,9.9,8.2
1344,832,8.8,8.8,6.3,9.9,8.9
1346,3246,7.9,7.5,5.9,9.9,8.15
1349,4788,8.3,8.3,7.2,9.9,9.05
1356,4184,8.3,8.3,8.4,9.9,9
1372,4987,8.2,8.2,5.6,9.9,8.15
1374,869,8.1,8.1,7.9,7.9,8.05
1376,4815,9.1,9.1,8,9.9,9.1
1377,909,8.3,8.3,8.2,9.9,9.05
1396,876,8.3,8.3,6,9.9,8.15
1403,879,8.2,8.2,8.1,9.9,8.15
1404,881,7.4,6.9,5.1,4.7,5.9
1417,2798,7.5,7.3,5.9,9.9,8.1
1422,925,8,7.5,6.7,9.9,8.4
1428,4053,8.6,8.6,4.6,9.9,7.4
1430,935,7.8,7.5,5.7,9.9,9.1
1437,903,8.2,8.2,5.2,9.9,5.9
1438,4144,9.1,9.1,5.7,9.9,8.15
1441,1185,7.9,7.9,6.7,6.7,8.15
1447,1013,7.5,7.3,5.9,9.9,8.1
1458,972,7.5,7.3,8.1,9.9,8.15
1462,4554,8.3,8.3,7.3,9.9,8.7
1467,1017,7.5,7.3,6,9.9,8.15
1468,4236,7.7,7.6,6.3,9.9,8.75
1476,2552,7.7,7.7,8.1,9.9,8.15
1487,1015,7.4,7.3,5.8,9.9,8.15
1490,1010,7.5,7.5,5.3,9.9,8.15
1507,4781,8.7,8.7,5.7,9.9,8.2
1516,1019,8.8,8.8,6.8,9.9,8.8
1521,951,7.7,7.7,6,6,7.7
1537,4442,7.9,7.5,6.1,9.9,8.1
1540,964,7.5,7.4,5.9,9.9,8.15
1546,2488,7.9,7.6,6.3,9.9,8.15
1548,973,8.3,8.3,6.3,9.9,9.15
1549,4229,8.3,8.3,6.3,9.9,9.1
1550,975,8.3,8.3,6.3,9.9,9.15
1553,3351,8.4,8.3,6.3,9.9,9.15
1555,981,8.4,8.3,6.3,9.9,9.15
1559,983,8.4,8.3,6.3,9.9,9.15
1567,1035,7.3,7.3,5.9,9.9,5.9
1594,990,8.3,8.3,6.3,9.9,9.15
